time,id,x,y,z,pitch,roll,yaw
157.17890689289197,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.19251585332677,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.21990183880553,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.23391638090834,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.24714770866558,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.26134698139504,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.2753623058088,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.30252127954736,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.31951279612258,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.33453034469858,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.3486223197542,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.36215784354135,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.3759222268127,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.40331581654027,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.4170953235589,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.43022188683972,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.4453446972184,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.45916642947122,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.47372873174027,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.50039768544957,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.51495003746822,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.52881329366937,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.5428704195656,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.55775810452178,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.58621683018282,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.59991552354768,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.61442323727533,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.62817622488365,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.6420365809463,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.65651566395536,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.6837765383534,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.6973064034246,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.71066185971722,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.73718505213037,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.7513797604479,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.7646895670332,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.77852897485718,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.7925643711351,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.80629855161533,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.82374165719375,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.8373184776865,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.87030313303694,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.8851125310175,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.89990946324542,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.91358449915424,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.92901523271576,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.9430510145612,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.95771447801962,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.98612738261,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
157.9996186294593,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
158.01421039411798,8021408230672975621,71.51345825195312,-192.20591735839844,0.0,360.0,0.0,-358.5604248046875
