time,id,roadid,laneid,s,Junction
345.1323388963938,7828967384418246903,667,3,32.65708463191985,655
345.1471622418612,12495575570584318689,667,3,32.41942055821418,655
345.1621143249795,9271435702861839866,667,3,32.178744184970846,655
345.1764208422974,15580436282765332329,667,3,31.69080917835235,655
345.19226226676255,10396229716218159601,667,3,31.461716222763055,655
345.22018428426236,10405689133283386063,667,3,31.236053991317743,655
345.2343019777909,6137081239624262327,667,3,31.0051533460617,655
345.2493546837941,5057564596171867139,667,3,30.758272218704217,655
345.26350608374923,8257005572653618827,667,3,30.525570440292352,655
345.27848428394645,2293569908329275351,667,3,30.278638172149652,655
345.2939297026023,6191125337245682381,667,3,30.023348855972284,655
345.3113023946062,9596153962174144504,667,3,29.735415744781488,655
345.32744420226663,13441864641255141995,667,3,29.467192697525018,655
345.34322006162256,13733024849329651531,667,3,28.97404913902282,655
345.35702024400234,2169127470222562419,667,3,28.74101190567016,655
345.3862809734419,8032813003405560112,667,3,28.484055328369134,655
345.4012182643637,2702742627565324924,667,3,28.23312788009643,655
345.4166485099122,5193766564017386221,667,3,27.973366546630853,655
345.43287131469697,7296309194328361142,667,3,27.699659633636468,655
345.44695456977934,7275348331801298550,667,3,27.461577701568597,655
345.4631134746596,1827461945880808755,667,3,27.187833595275873,655
345.4777803244069,12122581937217828910,667,3,26.700223255157464,655
345.4918130552396,1235362563209532145,667,3,26.4651382446289,655
345.5196814937517,6452462766792927493,667,3,26.224989700317376,655
345.53419475164264,15079651019827855894,667,3,25.976815509796136,655
345.54848476778716,6538402685155427387,667,3,25.732012081146234,655
345.56345354393125,13734723849512933169,667,3,25.47509746551513,655
345.5781495748088,8003399731146636455,667,3,25.22239093780517,655
345.59301312547177,2278131804700558763,667,3,24.705828475952142,655
345.60810555145144,11523379849009488410,667,3,24.474173355102533,655
345.6362180430442,8976377993770231696,667,3,24.21930198669433,655
345.6518187588081,16364083544713010403,667,3,23.948562431335443,655
345.6664164243266,18074300342224566873,667,3,23.694764900207513,655
345.6812598416582,16379743394688789228,667,3,23.436222839355462,655
345.6960261845961,7516426286185688605,667,3,23.178555297851556,655
345.70984247978777,15990713740773504322,667,3,22.686105537414544,655
345.72417369578034,18304829609843540024,667,3,22.433048057556146,655
345.75410421099514,7716988515732374187,667,3,22.16058902740478,655
345.7701784176752,2834467489361782742,667,3,21.877562332153314,655
345.78589174803346,571181685017104019,667,3,21.60035781860351,655
345.80172433238477,3485257670505023380,667,3,21.320517349243158,655
